Phase,Label,Category,H1,H2,H3,H4
EXT-RE,R_Amygdala_to_L_BA32,Amygdala-vmPFC,18.99 (0.61),4.9 (0.158),1.24 (0.04),4.98 (0.16)
EXT-RE,R_Amygdala_to_R_BA32,Amygdala-vmPFC,8.26 (0.405),7.19 (0.353),1.61 (0.079),2.34 (0.115)
EXT-RE,R_BA25_to_L_Amygdala,vmPFC-Amygdala,17.34 (0.652),3.1 (0.116),0.78 (0.029),4.38 (0.165)
EXT-RE,R_BA25_to_L_BA25,Intra-vmPFC,14.44 (0.636),4.2 (0.185),0.7 (0.031),2.34 (0.103)
EXT-RE,R_BA25_to_L_BA32,Intra-vmPFC,7.55 (0.477),5.03 (0.318),0.83 (0.052),1.42 (0.09)
EXT-RE,R_BA25_to_R_BA32,Intra-vmPFC,5.69 (0.263),7.52 (0.347),3.27 (0.151),4.2 (0.194)
EXT-RE,R_BA32_to_L_Amygdala,vmPFC-Amygdala,16.47 (0.541),5.05 (0.166),1.67 (0.055),6.25 (0.205)
EXT-RE,R_BA32_to_L_BA25,Intra-vmPFC,19.05 (0.63),4.26 (0.141),1.06 (0.035),4.85 (0.161)
EXT-RE,R_BA32_to_L_BA32,Intra-vmPFC,16.45 (0.55),6.28 (0.21),1.58 (0.053),4.6 (0.154)
EXT-RE,R_BA32_to_R_Amygdala,vmPFC-Amygdala,15.99 (0.528),6.36 (0.21),1.77 (0.059),5.15 (0.17)
EXT-RE,R_BA32_to_R_BA25,Intra-vmPFC,3.88 (0.298),6.01 (0.462),1.14 (0.088),0.99 (0.076)
EXT-RE,SCR,Physiology,16.21 (0.601),4.7 (0.174),1.11 (0.041),3.96 (0.147)
EXT-RE,US-Expectancy,Self-report,4.27 (0.211),4.97 (0.246),3.68 (0.182),6.29 (0.311)
REN,L_Amygdala_to_L_BA32,Amygdala-vmPFC,5.14 (0.346),6.23 (0.42),1.21 (0.081),1.26 (0.085)
REN,L_Amygdala_to_R_Amygdala,Intra-amygdala,9.82 (0.43),7.33 (0.321),1.76 (0.077),2.91 (0.128)
REN,L_Amygdala_to_R_BA25,Amygdala-vmPFC,12.88 (0.449),6.31 (0.22),2.34 (0.082),6.12 (0.214)
REN,L_Amygdala_to_R_BA32,Amygdala-vmPFC,7.9 (0.333),4.43 (0.186),2.79 (0.118),7.62 (0.321)
REN,L_BA25_to_L_BA32,Intra-vmPFC,15.24 (0.519),4.76 (0.162),1.74 (0.059),6.63 (0.226)
REN,L_BA25_to_R_Amygdala,vmPFC-Amygdala,18.37 (0.685),3.37 (0.126),0.66 (0.025),3.42 (0.127)
REN,L_BA25_to_R_BA25,Intra-vmPFC,4.38 (0.694),0.51 (0.081),0.05 (0.008),0.38 (0.059)
REN,L_BA32_to_L_Amygdala,vmPFC-Amygdala,15.61 (0.635),4.49 (0.183),0.8 (0.033),2.69 (0.11)
REN,L_BA32_to_L_BA25,Intra-vmPFC,9.67 (0.565),4.19 (0.245),0.67 (0.039),1.58 (0.092)
REN,L_BA32_to_R_Amygdala,vmPFC-Amygdala,14.34 (0.704),2.69 (0.132),0.4 (0.019),1.95 (0.096)
REN,L_BA32_to_R_BA25,Intra-vmPFC,10.35 (0.622),3.35 (0.201),0.49 (0.029),1.45 (0.087)
REN,L_BA32_to_R_BA32,Intra-vmPFC,18.96 (0.616),5.08 (0.165),1.17 (0.038),4.57 (0.148)
REN,R_Amygdala_to_L_Amygdala,Intra-amygdala,6.79 (0.299),7.65 (0.338),2.99 (0.132),4.25 (0.187)
REN,R_Amygdala_to_L_BA25,Amygdala-vmPFC,16.2 (0.668),3.83 (0.158),0.63 (0.026),2.59 (0.107)
REN,R_Amygdala_to_L_BA32,Amygdala-vmPFC,7.28 (0.445),5.59 (0.342),0.97 (0.06),1.51 (0.092)
REN,R_Amygdala_to_R_BA32,Amygdala-vmPFC,7.37 (0.423),6.19 (0.355),1.17 (0.067),1.7 (0.097)
REN,R_BA25_to_L_Amygdala,vmPFC-Amygdala,11.43 (0.446),3.81 (0.149),1.95 (0.076),7.41 (0.29)
